sunday,asset,tz,price_09,max_offset_min,price_12,pct_12,price_13,pct_13,price_14,pct_14,price_15,pct_15,price_16,pct_16,price_17,pct_17,price_18,pct_18,price_19,pct_19,price_20,pct_20,price_21,pct_21,price_22,pct_22,price_23,pct_23,price_24,pct_24
2025-01-12,BTC,EST,94606.0000,0,95005.0000,0.4217,95108.0000,0.5306,94963.0000,0.3774,94610.0000,0.0042,94660.0000,0.0571,94294.0000,-0.3298,93938.0000,-0.7061,94498.0000,-0.1142,95261.0000,0.6923,94173.0000,-0.4577,94173.0000,-0.4577,94224.0000,-0.4038,94433.0000,-0.1829
2025-01-12,SOL,EST,188.0500,0,189.9900,1.0316,189.9000,0.9838,189.5800,0.8136,188.9000,0.4520,189.3400,0.6860,188.4400,0.2074,186.9900,-0.5637,188.5000,0.2393,190.6300,1.3720,187.4200,-0.3350,185.7600,-1.2178,185.0200,-1.6113,185.3700,-1.4252
2025-01-19,BTC,EST,104805.0000,0,104823.0000,0.0172,104988.0000,0.1746,104902.0000,0.0926,106056.0000,1.1936,106159.0000,1.2919,103546.0000,-1.2013,103298.0000,-1.4379,101191.0000,-3.4483,99725.0000,-4.8471,100545.0000,-4.0647,101783.0000,-2.8835,101801.0000,-2.8663,102111.0000,-2.5705
2025-01-19,SOL,EST,282.8100,0,268.9400,-4.9044,271.3500,-4.0522,272.2100,-3.7481,269.5000,-4.7063,277.6400,-1.8281,255.2100,-9.7592,252.9400,-10.5619,252.4000,-10.7528,236.0600,-16.5305,241.9500,-14.4479,232.0200,-17.9591,241.3800,-14.6494,243.6600,-13.8432
2025-01-26,BTC,EST,104943.0000,0,104927.0000,-0.0152,104940.0000,-0.0029,105162.0000,0.2087,105076.0000,0.1267,104933.0000,-0.0095,104557.0000,-0.3678,104321.0000,-0.5927,102573.0000,-2.2584,101737.0000,-3.0550,101224.0000,-3.5438,100914.0000,-3.8392,101358.0000,-3.4161,100357.0000,-4.3700
2025-01-26,SOL,EST,255.2200,0,255.3500,0.0509,256.2100,0.3879,256.7500,0.5995,256.2900,0.4192,253.5000,-0.6739,249.2100,-2.3548,247.1500,-3.1620,240.4900,-5.7715,237.5900,-6.9078,235.8200,-7.6013,234.9900,-7.9265,235.8100,-7.6052,231.0400,-9.4742
2025-02-02,BTC,EST,98746.0000,0,98229.0000,-0.5236,97141.0000,-1.6254,97011.0000,-1.7570,98215.0000,-0.5377,97772.0000,-0.9864,96989.0000,-1.7793,97962.0000,-0.7940,97670.0000,-1.0897,96492.0000,-2.2826,93428.0000,-5.3855,93470.0000,-5.3430,94084.0000,-4.7212,92929.0000,-5.8909
2025-02-02,SOL,EST,212.8400,0,206.6600,-2.9036,203.1900,-4.5339,197.6600,-7.1321,203.5300,-4.3742,203.0200,-4.6138,202.1900,-5.0038,203.6800,-4.3037,203.5200,-4.3789,198.3400,-6.8126,184.8600,-13.1460,187.9500,-11.6942,197.9200,-7.0100,189.8700,-10.7921
2025-02-09,BTC,EST,95905.0000,0,96486.0000,0.6058,96214.0000,0.3222,96241.0000,0.3503,96083.0000,0.1856,96348.0000,0.4619,95161.0000,-0.7758,95858.0000,-0.0490,96533.0000,0.6548,96773.0000,0.9051,95593.0000,-0.3253,95870.0000,-0.0365,96825.0000,0.9593,97014.0000,1.1564
2025-02-09,SOL,EST,196.9600,0,202.0000,2.5589,199.9700,1.5282,200.1400,1.6145,199.0700,1.0713,199.4100,1.2439,195.1600,-0.9139,197.2100,0.1269,200.4700,1.7821,203.9900,3.5693,198.3600,0.7108,198.8800,0.9748,201.9700,2.5437,200.9900,2.0461
